,E,Eg,a,alpha,b,beta,c,gamma,id,x_Al,x_Ga,x_In,avg_rs_max,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_mass,x_Al_avg,x_Ga_avg,x_In_avg,a_avg,b_avg,c_avg,avg_rs_max_avg,avg_electronegativity_avg,avg_rp_max_avg,avg_LUMO_avg,avg_IP_avg,avg_rd_max_avg,avg_EA_avg,avg_HOMO_avg,avg_mass_avg,vol_avg,alpha_r,beta_r,gamma_r,vol,atomic_density,atomic_density_avg,Al_0_0,Al_1_0,Al_2_0,Al_3_0,Al_4_0,Al_5_0,Ga_0_0,Ga_1_0,Ga_2_0,Ga_3_0,Ga_4_0,Ga_5_0,In_0_0,In_1_0,In_2_0,In_3_0,In_4_0,In_5_0,Natoms_10.0,Natoms_20.0,Natoms_30.0,Natoms_40.0,Natoms_60.0,Natoms_80.0,O_0_0,O_1_0,O_2_0,O_3_0,O_4_0,O_5_0,sg_12,sg_167,sg_194,sg_206,sg_227,sg_33,pca_abc,pca_AlGaInDensity
0,0.068,3.4387,9.9523,90.0026,8.5513,90.0023,9.1775,90.0017,1,0.625,0.375,0.0,1.0775,1.685,1.43625,0.27875,-5.794325000000001,2.75375,-0.200725,-2.710125,43.009586625,0.40224972170686457,0.26176790352504636,0.3359808905380334,8.910749907235623,8.921999443413728,9.547555287569573,1.0799115807050093,1.7194679424860855,1.4185393320964748,0.4155644439703154,-5.708481991020408,2.4682182337662337,-0.2363877423376623,-2.735388211131726,67.68121382034575,760.385823024777,1.5708417053554484,1.5708364693676926,1.5708259973921805,781.0520809134048,0.1024259482241487,0.09071337255974632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,2.3030890804141464,-0.38741931553988024
1,0.249,2.9210000000000003,6.184,90.0186,6.1838,89.99799999999999,23.6287,120.0025,2,0.625,0.375,0.0,1.0775,1.685,1.43625,0.27875,-5.794325000000001,2.75375,-0.200725,-2.710125,43.009586625,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5711209580357677,1.5707614202098565,2.0944387356244953,782.5001097924257,0.1022364073804688,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.413996803113035,-0.3874206238907818
2,0.1821,2.7438,9.751,90.9688,5.6595,91.1228,13.963,30.5185,3,0.8125,0.1875,0.0,1.1037499999999998,1.6475,1.4681250000000001,0.32337499999999997,-5.7871625,2.931875,-0.22851249999999998,-2.7035625000000003,34.995562612499995,0.4269547325102881,0.292309670781893,0.28073559670781895,8.549607613168725,5.955061522633744,14.56143230452675,1.0778472222222222,1.7161869855967078,1.4194264403292183,0.39023083847736617,-5.723059773662552,2.5038451646090536,-0.2287570473251029,-2.7316548353909464,64.1341025144033,450.78077325527073,1.5877050765882177,1.5903928836362888,0.5326483077698895,391.22753081666167,0.10224229342066658,0.08964366854811766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,-1.2230993290316516,-0.5247196167826086
3,0.2172,3.3492,5.0036,89.9888,5.0034,90.0119,13.5318,120.0017,4,0.75,0.0,0.25,1.1199999999999999,1.6525,1.4725,0.44975,-5.71935,2.8175,-0.27035,-2.71875,48.94065395,0.4368214750542299,0.3233891540130152,0.23978546637744036,5.765269414316704,5.075530585683297,13.676557049891539,1.0751296876355747,1.7154350737527118,1.418641585683297,0.3694417919739696,-5.734158943210412,2.522219164859002,-0.22184866984815615,-2.72916942537961,61.86546515425904,348.4356595074632,1.570600849918673,1.571004020975884,2.0944247729904792,293.37733446711246,0.10225738826924612,0.09891526459964424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,-4.410965508937919,-0.3085525890160133
4,0.0505,1.3793,6.6614,89.99600000000001,6.6612,90.0006,24.5813,119.9893,5,0.0,0.625,0.375,1.0275,1.79875,1.3525,0.341875,-5.7129,2.0775,-0.18475,-2.7515,86.633625,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5707265136248172,1.5708067987704086,2.094208352163232,944.7138434058066,0.08468172723243941,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.700240024556706,0.3258643584136905
5,0.2209,2.1633,9.8456,91.1235,5.7176,91.3033,14.1244,30.573,6,0.5625,0.4375,0.0,1.0687499999999999,1.6975,1.4256250000000001,0.26387499999999997,-5.7967125,2.694375,-0.19146249999999998,-2.7123125000000003,45.6809279625,0.4269547325102881,0.292309670781893,0.28073559670781895,8.549607613168725,5.955061522633744,14.56143230452675,1.0778472222222222,1.7161869855967078,1.4194264403292183,0.39023083847736617,-5.723059773662552,2.5038451646090536,-0.2287570473251029,-2.7316548353909464,64.1341025144033,450.78077325527073,1.590405100941053,1.5935432029361385,0.5335995122122263,404.3155782668508,0.09893262132383074,0.08964366854811766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,-1.262443658495802,-0.34165112368202555
6,0.0562,0.9854,10.1664,90.0009,10.1664,90.0008,10.1666,89.9987,7,0.0312,0.0938,0.875,1.081868,1.7775100000000001,1.3878039999999998,0.6318005999999999,-5.57130816,1.99714,-0.29157384,-2.776408,107.84759140432,0.32528262987012985,0.2900766233766234,0.38463782467532465,9.608416558441558,9.608161363636363,9.60822564935065,1.0740004577922078,1.7333990503246754,1.408372430194805,0.4247372569805195,-5.697750901136363,2.3843918652597407,-0.23492654123376627,-2.7406082917207795,73.16498399901016,890.8166575026524,1.5708120347581647,1.5708102894289124,1.5707736375146206,1050.7759468782083,0.0761342132332541,0.09094864558663471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1.8418378351665474,0.6438368165365871
7,0.2243,1.7179,12.135,89.9997,3.1533,105.179,6.287999999999999,90.0001,8,0.5,0.0,0.5,1.1099999999999999,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,70.8997693,0.31552373626373625,0.3905197802197801,0.29395450549450547,21.532853186813185,5.489223076923077,6.113952307692308,1.0635668153846154,1.7380730373626372,1.4012736747252748,0.37117868769230766,-5.7235930596043945,2.3950732857142856,-0.2149447048131868,-2.73623689956044,69.49279491734809,744.7297170064376,1.5707910908071407,1.8357198539551158,1.5707980721241486,232.2178272348881,0.08612603191644723,0.08861854994031088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,5.671478397773937,0.044935356374514325
8,0.2193,2.6257,9.4027,90.0025,9.4023,90.00299999999999,9.4025,89.9978,9,0.5312,0.2188,0.25,1.089368,1.69626,1.435304,0.3976756,-5.727708160000001,2.6096399999999997,-0.23792384,-2.726408,58.29248570432,0.32528262987012985,0.2900766233766234,0.38463782467532465,9.608416558441558,9.608161363636363,9.60822564935065,1.0740004577922078,1.7333990503246754,1.408372430194805,0.4247372569805195,-5.697750901136363,2.3843918652597407,-0.23492654123376627,-2.7406082917207795,73.16498399901016,890.8166575026524,1.5708399600261964,1.570848686672456,1.5707579295513527,831.2468733460804,0.09624096350338136,0.09094864558663471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1.780032041647844,-0.14832308558627016
9,0.1994,2.5187,6.252000000000001,90.0172,6.252000000000001,89.9994,23.7931,119.9997,10,0.4062,0.5938,0.0,1.046868,1.72876,1.399054,0.22667559999999998,-5.80268316,2.54589,-0.16829884,-2.717783,52.36141837932,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5710965234262397,1.5707858548193845,2.0943898664054394,805.4171778167834,0.09932740721628666,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.474401609874906,-0.2271990787291516
